num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4305	5193.552459	30.327481	2.269971	-0.489035	1.505214
4307	5195.637998	30.440518	2.279152	-0.490045	1.384173
4309	5197.722123	30.359973	2.303658	-0.489580	1.349749
4311	5199.812931	30.714808	2.277281	-0.490428	1.416014
4313	5201.896599	30.992023	1.951654	-0.493189	1.591462
4315	5203.982168	31.249788	2.022665	-0.491240	1.480159
4317	5206.073472	32.052449	1.913912	-0.497146	1.631793
4319	5208.167281	33.672966	2.261484	-0.501256	1.720001
4321	5210.252156	32.943150	2.030084	-0.482743	1.817198
4323	5212.342574	33.789511	1.889708	-0.498445	1.806868
4325	5214.429378	35.680203	2.217227	-0.503330	1.804650
4327	5216.521236	35.480473	2.136686	-0.498701	1.972658
4329	5218.611062	36.083229	2.130504	-0.500062	2.110209
4331	5220.696486	36.308312	1.831331	-0.501062	2.135322
4333	5222.786761	38.028936	2.130708	-0.505686	2.150605
4335	5224.873127	38.297496	2.598782	-0.488534	2.101691
4337	5226.960064	39.304421	2.062975	-0.508814	2.222552
4339	5229.047164	39.139039	2.085832	-0.504300	2.446842
4341	5231.134839	40.770462	2.064920	-0.509588	2.359786
4343	5233.222509	40.401519	2.060574	-0.506190	2.401516
4345	5235.309118	39.629635	-4.755265	-0.484531	2.568723
4347	5237.396300	40.707400	1.883535	-0.500778	2.601325
4349	5239.482840	41.829715	1.837452	-0.506502	2.577063
4351	5241.571155	42.693707	-3.795246	-0.497579	2.796887
4353	5243.658155	44.175001	2.063063	-0.514818	2.945591
4355	5245.745559	45.035012	2.503936	-0.494028	3.062620
4357	5247.833425	45.338875	2.095919	-0.516121	3.131316
4359	5249.921366	46.105768	2.463728	-0.498561	3.127128
4361	5252.011642	45.872749	2.019456	-0.514192	3.193849
4363	5254.097276	47.657404	2.042401	-0.519232	3.306589
4365	5256.185135	46.010183	1.859349	-0.505304	3.487715
4367	5258.272944	48.984477	2.055435	-0.521361	3.458895
4369	5260.360459	48.322719	2.049491	-0.517057	3.595752
4371	5262.449022	50.148634	2.058935	-0.522259	3.795338
4373	5264.536669	50.756415	2.907036	-0.511664	3.744081
4375	5266.621979	50.951906	2.244875	-0.522657	3.777831
4377	5268.709964	51.830280	2.811480	-0.512397	3.953756
4379	5270.796116	52.131173	2.282529	-0.523775	3.994608
4381	5272.882786	51.756899	2.071792	-0.521570	4.059236
4383	5274.971235	51.252212	1.850761	-0.520565	4.203348
4385	5277.057265	53.913376	2.165696	-0.526309	4.301971
4387	5279.144699	52.569306	1.928054	-0.512225	4.392878
4389	5281.230492	54.578692	-3.465263	-0.510325	4.241123
4391	5283.317997	52.740610	1.929539	-0.512474	4.406545
4393	5285.405145	56.298256	2.181624	-0.531091	4.358108
4395	5287.492010	54.522518	2.011689	-0.515679	4.433879
4397	5289.580511	57.199166	2.197176	-0.531218	4.554823
4399	5291.667237	58.420419	2.631664	-0.513632	4.616159
4401	5293.754723	58.754049	2.934893	-0.514311	4.547401
4403	5295.841398	56.581146	2.125270	-0.515229	4.948818
4405	5297.928200	56.908773	2.073894	-0.524580	4.885043
4407	5300.014757	57.967048	2.208640	-0.526548	4.904989
4409	5302.101417	59.539385	-4.402923	-0.510856	5.172893
4411	5304.188224	58.230763	2.197441	-0.516226	5.324293
4413	5306.275125	60.718439	-4.165030	-0.509994	5.265717
4415	5308.361087	60.763106	2.530648	-0.530827	5.403197
4417	5310.448110	61.206557	2.542431	-0.531286	5.462396
4419	5312.533375	63.488259	3.148767	-0.522579	5.618475
4421	5314.621671	63.638959	3.240791	-0.519249	5.569626
4423	5316.706883	61.473117	2.367217	-0.528613	5.874903
4425	5318.793830	63.292272	2.338912	-0.535552	5.819466
4427	5320.880232	63.791657	3.233859	-0.525957	5.700980
4429	5322.966900	62.569362	2.436555	-0.529952	5.918637
4431	5325.052277	62.047553	2.367161	-0.523421	6.006634
4433	5327.139981	63.262632	2.407978	-0.528798	6.074836
4435	5329.225521	63.635805	2.421817	-0.528957	6.043535
4437	5331.311797	65.307273	2.498770	-0.534698	6.222906
4439	5333.399410	64.484126	2.540012	-0.530966	6.279638
4441	5335.485921	66.139165	2.553415	-0.536208	6.257238
4443	5337.572736	64.171468	2.492285	-0.512834	6.401077
4445	5339.658582	65.944650	-1.083501	-0.520997	6.326909
4447	5341.744896	64.507324	2.466321	-0.516852	6.289501
4449	5343.830547	65.964364	2.567591	-0.530295	6.777087
4451	5345.918247	67.304131	-2.464086	-0.520779	6.631343
4453	5348.003876	66.702575	2.700595	-0.532286	6.680376
4455	5350.089643	66.876629	2.643808	-0.530509	6.946691
4457	5352.175893	67.199458	2.674622	-0.531603	6.674767
4459	5354.262550	66.061212	2.451600	-0.529302	6.567248
4461	5356.347984	67.754686	2.699771	-0.531940	6.959820
4463	5358.435505	66.963271	2.618179	-0.528393	6.727006
4465	5360.521232	68.313649	2.744125	-0.532334	6.759513
