time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6666.307306	81.027985	0.028382	2.854877	57
6678.842256	75.520546	0.028490	2.650812	69
6679.868129	89.364876	0.028430	3.143319	70
6680.935878	76.305664	0.028436	2.683454	71
6681.968393	79.934357	0.028443	2.810353	72
6683.034070	76.914581	0.028463	2.702294	73
6684.068350	89.569206	0.028459	3.147255	74
6685.115274	96.417290	0.028459	3.387881	75
6686.166140	93.599152	0.028457	3.289103	76
6687.193827	107.198479	0.028426	3.771136	77
6688.275713	67.213112	0.028434	2.363832	78
6689.304388	80.848793	0.028419	2.844878	79
6690.359188	81.577888	0.028414	2.871061	80
6691.391357	82.666847	0.028375	2.913348	81
6692.451731	86.785263	0.028431	3.052494	82
6693.479696	99.460663	0.028455	3.495342	83
6694.540587	84.456131	0.028423	2.971412	84
6695.587444	75.688011	0.028441	2.661246	85
6696.627003	81.669983	0.028420	2.873687	86
6697.685235	71.169769	0.028459	2.500825	87
6698.708424	88.818199	0.028405	3.126836	88
6699.783154	75.874863	0.028455	2.666461	89
6700.796937	88.814697	0.028409	3.126323	90
6701.872815	78.144371	0.028446	2.747110	91
6702.889180	89.810562	0.028402	3.162162	92
6703.961171	77.290092	0.028460	2.715789	93
6704.982370	77.251747	0.028415	2.718670	94
6706.053138	77.656937	0.028457	2.728915	95
6707.073893	85.880241	0.028402	3.023707	96
6708.140526	64.692223	0.028410	2.277128	97
6709.160478	84.423508	0.028446	2.967841	98
6710.231764	77.706512	0.028379	2.738202	99
6711.255288	83.577370	0.028436	2.939131	100
6712.322041	76.129692	0.028429	2.677889	101
6713.344253	76.063843	0.028407	2.677614	102
6714.416374	70.283485	0.028380	2.476551	103
6715.435046	81.876404	0.028417	2.881267	104
6716.498115	74.383484	0.028421	2.617184	105
6717.527717	79.076973	0.028457	2.778782	106
6718.585109	72.272362	0.028395	2.545269	107
6719.622228	74.823021	0.028442	2.630715	108
6720.670192	73.976479	0.028382	2.606475	109
6721.715541	73.968567	0.028498	2.595536	110
6722.753728	74.688675	0.028445	2.625731	111
6723.809429	69.225067	0.028399	2.437609	112
6724.844895	75.041641	0.028440	2.638616	113
6725.893737	74.751740	0.028380	2.633925	114
6726.936708	72.743149	0.028471	2.555017	115
6727.980409	70.361740	0.028403	2.477297	116
6729.027332	69.232948	0.028367	2.440631	117
6730.064606	69.033417	0.028420	2.429077	118
6731.118558	66.973236	0.028406	2.357722	119
6732.148429	70.350395	0.028434	2.474207	120
6733.212604	63.597164	0.028441	2.236071	121
6734.237783	67.470886	0.028442	2.372252	122
6735.300759	64.892120	0.028446	2.281214	123
6736.324220	69.995003	0.028429	2.462119	124
6737.389778	58.966427	0.028362	2.079087	125
6738.414972	65.388901	0.028439	2.299262	126
6739.474848	60.208584	0.028435	2.117383	127
6740.505243	66.051186	0.028407	2.325197	128
6741.557061	62.303452	0.028409	2.193118	129
6742.595228	64.023140	0.028414	2.253221	130
6743.647669	59.548840	0.028408	2.096188	131
6744.683791	66.118454	0.028412	2.327103	132
6745.730681	60.505116	0.028359	2.133538	133
6746.773034	59.136742	0.028394	2.082724	134
6747.818779	57.850945	0.028397	2.037209	135
6748.861008	59.445091	0.028368	2.095475	136
6749.905195	58.936199	0.028437	2.072520	137
6750.951278	57.971153	0.028377	2.042884	138
6751.995539	56.248192	0.028428	1.978607	139
6753.037242	59.776043	0.028404	2.104496	140
6754.082863	56.287224	0.028402	1.981831	141
