crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.466119	5877	0.000000
281474976710655.000000	1.409423	5878	0.000000
281474976710655.000000	1.411173	5879	0.000000
281474976710655.000000	1.455471	5880	0.000000
281474976710655.000000	1.451344	5881	0.000000
281474976710655.000000	1.437742	5882	6869038592.000000
281474976710655.000000	1.387126	5883	6870064128.000000
281474976710655.000000	1.539294	5884	6871126016.000000
281474976710655.000000	1.645628	5885	6872166400.000000
281474976710655.000000	1.610952	5886	6873220608.000000
281474976710655.000000	1.632627	5887	6874253312.000000
281474976710655.000000	1.682573	5888	6875312640.000000
281474976710655.000000	1.818669	5889	6876359168.000000
281474976710655.000000	1.818011	5890	6877407232.000000
281474976710655.000000	1.729918	5891	6878449152.000000
281474976710655.000000	1.840847	5892	6879494656.000000
281474976710655.000000	2.021054	5893	6880541696.000000
281474976710655.000000	1.937065	5894	6881588736.000000
281474976710655.000000	1.887507	5895	6882641920.000000
281474976710655.000000	1.935357	5896	6883679744.000000
281474976710655.000000	2.093185	5897	6884727808.000000
281474976710655.000000	2.146369	5898	6885775872.000000
281474976710655.000000	2.126614	5899	6886821376.000000
281474976710655.000000	2.102135	5900	6887862784.000000
281474976710655.000000	2.275565	5901	6888910336.000000
281474976710655.000000	2.246610	5902	6889959936.000000
281474976710655.000000	2.299371	5903	6891003904.000000
281474976710655.000000	2.300708	5904	6892052992.000000
281474976710655.000000	2.489223	5905	6893091328.000000
281474976710655.000000	2.416402	5906	6894143488.000000
281474976710655.000000	2.523710	5907	6895178752.000000
281474976710655.000000	2.535560	5908	6896239616.000000
281474976710655.000000	2.675403	5909	6897267200.000000
281474976710655.000000	2.539256	5910	6898328064.000000
281474976710655.000000	2.650983	5911	6899357184.000000
281474976710655.000000	2.740860	5912	6900421632.000000
281474976710655.000000	2.877766	5913	6901446144.000000
281474976710655.000000	2.664764	5914	6902508544.000000
281474976710655.000000	2.770573	5915	6903538688.000000
281474976710655.000000	2.849663	5916	6904600576.000000
281474976710655.000000	2.995093	5917	6905627648.000000
281474976710655.000000	2.828198	5918	6906688000.000000
281474976710655.000000	2.887833	5919	6907718144.000000
281474976710655.000000	2.940402	5920	6908775424.000000
281474976710655.000000	3.023377	5921	6909812736.000000
281474976710655.000000	3.012428	5922	6910859264.000000
281474976710655.000000	3.044997	5923	6911903232.000000
281474976710655.000000	3.053086	5924	6912948736.000000
281474976710655.000000	3.155644	5925	6913996288.000000
281474976710655.000000	3.251137	5926	6915035136.000000
281474976710655.000000	3.165815	5927	6916084224.000000
281474976710655.000000	3.202646	5928	6917121536.000000
281474976710655.000000	3.307668	5929	6918176768.000000
281474976710655.000000	3.477396	5930	6919208448.000000
281474976710655.000000	3.303715	5931	6920264192.000000
281474976710655.000000	3.326675	5932	6921298432.000000
281474976710655.000000	3.471281	5933	6922353152.000000
281474976710655.000000	3.573016	5934	6923386368.000000
281474976710655.000000	3.418267	5935	6924440576.000000
281474976710655.000000	3.466193	5936	6925475840.000000
281474976710655.000000	3.573436	5937	6926530048.000000
281474976710655.000000	3.734048	5938	6927562752.000000
281474976710655.000000	3.490985	5939	6928616448.000000
281474976710655.000000	3.615795	5940	6929650176.000000
281474976710655.000000	3.671088	5941	6930706432.000000
281474976710655.000000	3.820747	5942	6931738112.000000
281474976710655.000000	3.724059	5943	6932793856.000000
281474976710655.000000	3.750410	5944	6933827072.000000
281474976710655.000000	3.842078	5945	6934881280.000000
281474976710655.000000	3.941714	5946	6935914496.000000
281474976710655.000000	3.773027	5947	6936970240.000000
281474976710655.000000	3.946702	5948	6938002432.000000
281474976710655.000000	4.006404	5949	6939057152.000000
281474976710655.000000	4.028449	5950	6940088320.000000
281474976710655.000000	3.903945	5951	6941145600.000000
281474976710655.000000	4.033394	5952	6942178304.000000
