phase	duration	avg. energy	# 1/2 cycles	elapsed time	lifetime (sl)	lifetime (ampsq)	energy change	coil energy	energy loss	i1+k1/j1
30	10	6.686	130	135.675	891	891	7.893	9.995	1.018	0.8915457729
30	10	7.787	124	129.39	891	891	8.803	9.571	1.131	1.037927071
30	10	6.884	122	127.308	891	891	7.864	9.211	0.983827	0.9605718163
30	20	10.311	122	127.382	803	803	12.25	15.281	1.635	0.9086447222
30	20	10.067	120	125.287	803	803	12.411	14.518	1.571	0.9630803141
30	20	10.971	126	131.522	803	803	14.444	15.444	1.797	1.051605802
45	20	7.011	120	125.263	891	891	5.398	7.293	0.985927	0.8753499246
45	20	6.775	122	127.382	891	891	5.351	8.256	0.968682	0.7654653585
45	20	6.602	124	129.49	891	891	6.131	8.41	0.959326	0.8430827586
45	10	5.215	120	125.379	803	803	4.454	5.386	0.814154	0.9781199406
45	10	5.336	120	125.365	803	803	5.138	5.406	0.832925	1.10449963
45	10	5.136	120	125.367	803	803	4.611	5.447	0.801933	0.9937457316
45	30	7.985	122	127.532	803	803	8.587	8.918	1.268	1.105068401
45	30	7.982	120	125.436	803	803	7.411	8.222	1.238	1.051933836
45	30	8.138	122	127.496	803	803	7.697	7.761	1.292	1.158227033
20	10	6.253	122	129.487	803	803	9.823	10.978	0.991676	0.9851226089
20	10	7.197	120	125.271	803	803	10.968	11.763	1.123	1.027884043
20	10	8.021	122	127.371	803	803	12.614	13.162	1.272	1.055006838
20	20	13.495	120	125.341	842	842	23.621	24.693	2.009	1.037945977
20	20	12.587	104	108.627	842	842	21.361	21.922	1.624	1.048490101
20	20	12.041	102	106.537	842	842	20.906	21.064	1.524	1.064849981
15	20	14.906	81	116	803	803	22.45	23.1	1.567	1.03969697
15	20	17.15	109	115	803	803	23.3	32	2.41	0.8034375
15	20	16.1	111	118	803	803	23.1	28.3	2.31	0.8978798587
15	10	11.754	164	173.507	803	803	21.733	23.744	2.509	1.02097372
15	10	17.337	98	102.434	803	803	17.916	18.067	2.212	1.114075386
15	10	16.991	96	101.654	803	803	17.371	18.445	2.201	1.061100569
